Present State of MPS:
space_size=16	,cutoff=0.0100000000	,lr=0.100000
bond dimension:[2, 4, 5, 4, 3, 3, 3, 2, 2, 3, 2, 2, 3, 3, 2, 1]	loss=5.391052e+00
cutoff	n_loop	n_descent	learning_rate
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
1.00e-02	1	10	1.00e-01
Present set_size:54
Present setting_number:33
