Present State of MPS:
space_size=9	,cutoff=0.1000000000	,lr=0.100000
bond dimension:[1, 2, 3, 4, 6, 4, 3, 2, 1]	loss=3.004001e+01
cutoff	n_loop	n_descent	learning_rate
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
1.00e-01	1	10	1.00e-01
Present set_size:87
Present setting_number:19
