Present State of MPS:
space_size=20	,cutoff=0.8000000000	,lr=0.100000
bond dimension:[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]	loss=1.050026e+01
cutoff	n_loop	n_descent	learning_rate
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
8.00e-01	1	10	1.00e-01
Present set_size:4080
